코드,날짜,종가,전일비,시가,고가,저가,거래량
001450,20200106,25450,0,25050,25600,25050,151197
001450,20200103,25450,-450,26000,26200,25450,321054
001450,20200102,25900,-1050,26950,27100,25900,287208
001450,20191230,26950,-200,27200,27300,26600,172927
001450,20191227,27150,-800,27100,27450,26900,259462
001450,20191226,27950,50,28100,28100,27750,154026
001450,20191224,27900,0,27950,28000,27650,172512
001450,20191223,27900,150,27850,28050,27500,225566
001450,20191220,27750,-1350,29200,29200,27500,491873
001450,20191219,29100,-50,29100,29300,28800,251891
001450,20191218,29150,600,28550,29350,28550,148366
001450,20191217,28550,-400,28850,29000,28450,500201
001450,20191216,28950,-750,29700,29800,28600,325931
001450,20191213,29700,750,29200,29800,29200,376154
001450,20191212,28950,1450,28000,29250,28000,722053
001450,20191211,27500,-100,27800,27800,27150,183378
001450,20191210,27600,-750,28050,28400,27550,259044
001450,20191209,28350,-50,28150,28500,27950,177289
001450,20191206,28400,150,28300,28550,27900,152258
001450,20191205,28250,450,27550,28500,27550,272041
001450,20191204,27800,-150,27650,28000,27350,190628
001450,20191203,27950,0,27950,28450,27450,182736
001450,20191202,27950,-50,28250,28400,27750,201247
001450,20191129,28000,-700,29100,29100,27950,298555
001450,20191128,28700,100,28350,28800,28050,219347
001450,20191127,28600,900,28300,28700,27800,220592
001450,20191126,27700,-50,27800,28450,27050,641132
001450,20191125,27750,450,26900,27850,26900,174364
001450,20191122,27300,50,27300,27800,27150,188535
001450,20191121,27250,-400,27650,27900,26800,336202
001450,20191120,27650,-200,27700,27950,27450,166171
001450,20191119,27850,-300,27900,28200,27550,171722
001450,20191118,28150,-200,28350,28450,27900,171900
001450,20191115,28350,850,27550,28900,27450,462457
001450,20191114,27500,-50,27500,27550,27150,252604
001450,20191113,27550,-650,28000,28450,27200,316850
001450,20191112,28200,100,28100,28350,27800,225378
001450,20191111,28100,-200,28000,28650,27950,204175
001450,20191108,28300,400,27900,28800,27800,454932
001450,20191107,27900,1400,26200,27950,26150,422281
001450,20191106,26500,-350,26850,26950,26300,163035
001450,20191105,26850,550,26350,27000,26300,183615
001450,20191104,26300,1050,25250,26550,25250,261461
001450,20191101,25250,0,25150,25500,25000,176045
001450,20191031,25250,-450,25650,25700,25100,203807
001450,20191030,25700,-550,26050,26350,25650,133573
001450,20191029,26250,500,25800,26600,25550,253607
001450,20191028,25750,-400,26650,26650,25600,179629
001450,20191025,26150,0,26050,26250,25600,158986
001450,20191024,26150,50,25900,26500,25900,176682
001450,20191023,26100,-600,26300,26900,26000,201342
001450,20191022,26700,-100,26650,27250,26550,250644
001450,20191021,26800,600,26000,27050,26000,256077
001450,20191018,26200,-100,26400,26600,26000,393544
001450,20191017,26300,-250,26300,26650,26150,135553
001450,20191016,26550,-200,26750,26900,26350,185822
001450,20191015,26750,100,26700,27100,26400,202056
001450,20191014,26650,750,26200,27000,26100,274770
001450,20191011,25900,1500,24800,26200,24800,578431
001450,20191010,24400,-900,24750,25300,24000,537730
001450,20191008,25300,50,25100,25700,25100,299816
001450,20191007,25250,50,25450,25800,24950,274316
001450,20191004,25200,-950,25900,26000,25200,781415
001450,20191002,26150,-400,26650,26650,26050,383593
001450,20191001,26550,150,26400,26950,26100,265630
001450,20190930,26400,200,26400,26550,26050,277780
001450,20190927,26200,-100,26450,26500,25900,327871
001450,20190926,26300,0,26300,26400,25600,386691
001450,20190925,26300,300,26000,26750,25950,419643
001450,20190924,26000,0,26100,26200,25850,246078
001450,20190923,26000,150,25500,26150,25450,210602
001450,20190920,25850,300,25550,25850,25300,374560
001450,20190919,25550,-450,25850,25850,25200,365560
001450,20190918,26000,750,25300,26100,25300,281407
001450,20190917,25250,250,25000,25550,25000,447736
001450,20190916,25000,100,24900,25700,24850,367539
001450,20190911,24900,250,24800,25250,24700,555351
001450,20190910,24650,700,23850,25000,23850,459063
001450,20190909,23950,0,23750,24300,23750,244966
001450,20190906,23950,-150,24000,24250,23900,309354
001450,20190905,24100,0,23800,24350,23800,277191
001450,20190904,24100,100,23800,24200,23750,224540
001450,20190903,24000,150,23800,24350,23800,258450
001450,20190902,23850,-50,25550,25550,23750,152706
001450,20190830,23900,350,23250,23950,23250,219173
001450,20190829,23550,400,23150,23600,23100,191490
001450,20190828,23150,100,23000,23350,22850,254065
001450,20190827,23050,-350,23250,23650,23050,305340
001450,20190826,23400,100,22850,23550,22650,263286
001450,20190823,23300,-1050,24000,24150,23250,595793
001450,20190822,24350,500,23850,24600,23850,287409
001450,20190821,23850,450,23400,23900,23250,263880
001450,20190820,23400,-850,23900,24100,23050,603436
001450,20190819,24250,150,24300,24500,23950,162108
001450,20190816,24100,-100,23950,24250,23300,289265
001450,20190814,24200,-800,24750,24800,24200,329253
001450,20190813,25000,950,24050,25200,24050,278948
001450,20190812,24050,-1300,25350,25550,23950,266971
001450,20190809,25350,-50,25400,26150,25350,161724
001450,20190808,25400,1000,24700,25850,24500,387762
001450,20190807,24400,-1150,25400,25500,24350,516755
001450,20190806,25550,-550,25850,25850,25200,472190
001450,20190805,26100,-300,26100,26350,25800,261962
001450,20190802,26400,-950,26850,27250,26250,375832
001450,20190801,27350,-600,27950,28150,27350,264898
001450,20190731,27950,950,27150,27950,26900,302428
001450,20190730,27000,-400,27500,27500,26800,106691
001450,20190729,27400,50,27300,27600,27000,204567
001450,20190726,27350,500,26550,27500,26250,244870
001450,20190725,26850,-350,26950,27050,26550,174353
001450,20190724,27200,-400,27500,27700,27050,145165
001450,20190723,27600,100,27450,27800,27250,153513
001450,20190722,27500,-200,27700,27950,27200,149562
001450,20190719,27700,1150,26650,27800,26450,332374
001450,20190718,26550,-500,26800,26800,26100,329597
001450,20190717,27050,-150,26900,27050,26650,148287
001450,20190716,27200,250,27200,27250,26650,377051
001450,20190715,26950,0,26750,27150,26750,104743
001450,20190712,26950,100,26850,27150,26850,149320
001450,20190711,26850,-50,26650,27200,26600,307392
001450,20190710,26900,-50,26950,27200,26600,202491
001450,20190709,26950,-350,27400,27450,26850,121972
001450,20190708,27300,-250,27550,27750,27150,155827
001450,20190705,27550,100,27300,27750,27300,137695
001450,20190704,27450,500,27000,27550,26850,174013
001450,20190703,26950,-1050,28200,28200,26950,417624
001450,20190702,28000,-500,28350,28450,27950,262464
001450,20190701,28500,50,28700,28950,28450,130467
001450,20190628,28450,-350,28550,28900,28450,145957
001450,20190627,28800,200,28600,28800,28050,353520
001450,20190626,28600,-100,28700,28850,28350,288991
001450,20190625,28700,-750,29400,29500,28600,519338
001450,20190624,29450,-300,29750,29750,29300,201949
