BASE_DATE,IR_CURVE_ID,MAT_CD,INT_RATE
20151221,A100,M0003,0.0155
20151221,A100,M0006,0.0158
20151221,A100,M0009,0.0159
20151221,A100,M0012,0.0162
20151221,A100,M0018,0.0164
20151221,A100,M0024,0.0164
20151221,A100,M0030,0.0165
20151221,A100,M0036,0.0166
20151221,A100,M0048,0.0177
20151221,A100,M0060,0.0186
20151221,A100,M0084,0.0201
20151221,A100,M0120,0.0211
20151221,A100,M0240,0.022
20151221,E110,M0003,0.0163
20151221,E110,M0006,0.0167
20151221,E110,M0009,0.017
20151221,E110,M0012,0.017
20151221,E110,M0018,0.0175
20151221,E110,M0024,0.0177
20151221,E110,M0030,0.0177
20151221,E110,M0036,0.018
20151221,E110,M0048,0.0186
20151221,E110,M0060,0.0201
20151221,E110,M0084,0.0211
20151221,E110,M0120,0.0225
20151221,E110,M0240,0.0237
20151224,A100,M0003,0.0155
20151224,A100,M0006,0.0159
20151224,A100,M0009,0.0161
20151224,A100,M0012,0.0163
20151224,A100,M0018,0.0165
20151224,A100,M0024,0.0166
20151224,A100,M0030,0.0167
20151224,A100,M0036,0.0166
20151224,A100,M0048,0.0178
20151224,A100,M0060,0.0187
20151224,A100,M0084,0.0202
20151224,A100,M0120,0.021
20151224,A100,M0240,0.0218
20151217,A100,M0003,0.0155
20151217,A100,M0006,0.0158
20151217,A100,M0009,0.0161
20151217,A100,M0012,0.0164
20151217,A100,M0018,0.0168
20151217,A100,M0024,0.017
20151217,A100,M0030,0.0172
20151217,A100,M0036,0.0172
20151217,A100,M0048,0.0184
20151217,A100,M0060,0.0192
20151217,A100,M0084,0.0207
20151217,A100,M0120,0.0216
20151217,A100,M0240,0.0226
20151224,E110,M0003,0.0164
20151224,E110,M0006,0.0167
20151224,E110,M0009,0.0171
20151224,E110,M0012,0.0172
20151224,E110,M0018,0.0175
20151224,E110,M0024,0.0178
20151224,E110,M0030,0.0179
20151224,E110,M0036,0.018
20151224,E110,M0048,0.0187
20151224,E110,M0060,0.0202
20151224,E110,M0084,0.0212
20151224,E110,M0120,0.0224
20151224,E110,M0240,0.0235
20151217,E110,M0003,0.0163
20151217,E110,M0006,0.0167
20151217,E110,M0009,0.0172
20151217,E110,M0012,0.0172
20151217,E110,M0018,0.0178
20151217,E110,M0024,0.0181
20151217,E110,M0030,0.0182
20151217,E110,M0036,0.0185
20151217,E110,M0048,0.0193
20151217,E110,M0060,0.0208
20151217,E110,M0084,0.0217
20151217,E110,M0120,0.0231
20151217,E110,M0240,0.0243
20151222,A100,M0003,0.0155
20151222,A100,M0006,0.0158
20151222,A100,M0009,0.016
