CERT,PY,KM,PRICE,FUEL,MODEL
Certificated,2013,71000,2120,Diesel,A-Class
Normal,2013,43000,2250,Diesel,A-Class
Guaranteed,2013,45875,2100,Diesel,A-Class
Guaranteed,2013,44102,2230,Diesel,A-Class
Certificated,2017,2305,4950,Gasoline,A-Class
Guaranteed,2017,7038,3099,Gasoline,A-Class
Certificated,2016,3012,2900,Gasoline,A-Class
Normal,2014,59078,2100,Diesel,A-Class
Normal,2017,8,3130,Gasoline,A-Class
Normal,2015,32252,2490,Diesel,A-Class
Guaranteed,2017,10,3290,Gasoline,A-Class
Guaranteed,2013,48199,3090,Diesel,A-Class
Guaranteed,2014,27109,2320,Diesel,A-Class
Certificated,2017,1459,5000,Gasoline,A-Class
Guaranteed,2016,29305,2649,Gasoline,A-Class
Certificated,2017,2423,5000,Gasoline,A-Class
Normal,2015,30226,3730,Gasoline,A-Class
Normal,2015,57667,2270,Diesel,A-Class
Normal,2014,83284,2299,Diesel,A-Class
Normal,2014,93092,2030,Diesel,A-Class
Guaranteed,2016,20001,2750,Gasoline,A-Class
Normal,2017,1593,4299,Gasoline,A-Class
Normal,2016,17778,2750,Gasoline,A-Class
Normal,2014,35720,2490,Diesel,A-Class
Normal,2015,19000,3200,Gasoline,A-Class
Normal,2015,36000,3780,Gasoline,A-Class
Guaranteed,2015,44098,3850,Gasoline,A-Class
Normal,2017,27900,4690,Gasoline,A-Class
Normal,2015,40000,3730,Gasoline,A-Class
Guaranteed,2016,14580,2750,Gasoline,A-Class
Guaranteed,2017,28989,2590,Gasoline,A-Class
Guaranteed,2013,139875,1670,Diesel,A-Class
Normal,2015,30655,3990,Gasoline,A-Class
Normal,2013,38000,2300,Diesel,A-Class
Normal,2016,9187,2790,Gasoline,A-Class
Guaranteed,2013,16893,2290,Diesel,A-Class
Normal,2014,33000,2500,Diesel,A-Class
Normal,2015,47663,2190,Diesel,A-Class
Normal,2016,30986,3590,Gasoline,A-Class
Normal,2014,45244,2370,Diesel,A-Class
Guaranteed,2017,4587,3100,Gasoline,A-Class
Normal,2015,41455,3950,Gasoline,A-Class
Guaranteed,2016,49350,2490,Gasoline,A-Class
Normal,2015,44615,3690,Gasoline,A-Class
Normal,2014,21000,2590,Diesel,A-Class
Certificated,2017,1770,3050,Gasoline,A-Class
Normal,2014,24000,2550,Diesel,A-Class
Certificated,2013,15280,2500,Diesel,A-Class
Certificated,2017,3600,5000,Gasoline,A-Class
Certificated,2017,1000,4950,Gasoline,A-Class
Normal,2015,53567,3750,Gasoline,A-Class
Guaranteed,2014,38468,2250,Diesel,A-Class
Normal,2016,25900,4650,Gasoline,A-Class
Normal,2014,94000,2290,Diesel,A-Class
Certificated,2017,2010,4950,Gasoline,A-Class
Certificated,2017,5506,2970,Gasoline,A-Class
Normal,2016,26000,2690,Gasoline,A-Class
Normal,2016,30518,2490,Gasoline,A-Class
Normal,2014,32000,2380,Diesel,A-Class
Certificated,2017,33993,4250,Gasoline,A-Class
Certificated,2016,54238,2350,Gasoline,A-Class
Certificated,2015,15697,2850,Diesel,A-Class
Certificated,2015,8293,2870,Diesel,A-Class
Guaranteed,2016,15600,4300,Gasoline,A-Class
Normal,2013,24438,2150,Diesel,A-Class
Normal,2017,9,3450,Gasoline,A-Class
Normal,2004,220000,270,Gasoline,A-Class
Normal,2014,25000,2700,Diesel,A-Class
Guaranteed,2016,13158,2590,Gasoline,A-Class
Normal,2014,60000,2600,Diesel,A-Class
Normal,2016,10605,4390,Gasoline,A-Class
Normal,2015,53418,2570,Diesel,A-Class
Normal,2017,9,3150,Gasoline,A-Class
Normal,2016,15800,2700,Gasoline,A-Class
Normal,2017,283,3090,Gasoline,A-Class
Certificated,2017,3436,5000,Gasoline,A-Class
Normal,2016,3664,2880,Gasoline,A-Class
Normal,2015,36905,2590,Diesel,A-Class
Normal,2017,69,3700,Gasoline,A-Class
Normal,2017,8,3190,Gasoline,A-Class
Normal,2013,12475,2590,Diesel,A-Class
Normal,2013,64617,2350,Diesel,A-Class
Normal,2015,43950,3730,Gasoline,A-Class
Normal,2013,17775,2420,Diesel,A-Class
Certificated,2015,9672,4390,Gasoline,A-Class
Normal,2017,19000,4580,Gasoline,A-Class
Normal,2016,4000,2900,Gasoline,A-Class
